,Name,Location,Company Size,Company Type
301,Kalkine Solutions Private Limited,Noida,"Company size
201-500 employees","Industry
KPO/Research"
302,Claight Corporation (Expert Market Research),Noida,"Company size
201-500 employees","Industry
KPO/Research"
303,Market Research Future (MRFR),Pune,"Company size
201-500 employees","Industry
KPO/Research"
304,Prin. L. N. Welingkar Institute Of Management Development And Research (WeSchool),Mumbai,"Company size
201-500 employees","Industry
KPO/Research"
305,Phonicle Synergies Private Limited,Noida,"Company size
201-500 employees","Industry
KPO/Research"
306,Bahar Infocons Private Limited,Mumbai,"Company size
201-500 employees","Industry
KPO/Research"
307,Atharv Optikos Syndsseis Private Limited,Raipur,"Company size
201-500 employees","Industry
KPO/Research"
308,IPG MEDIA BRANDS,Pune,"Company size
201-500 employees","Industry
KPO/Research"
309,Sagacious IP,Gurgaon,"Company size
201-500 employees","Industry
KPO/Research"
310,HelioNext,Gurgaon,"Company size
201-500 employees","Industry
KPO/Research"
311,Fortune Business Insights Private Limited,Pune,"Company size
201-500 employees","Industry
KPO/Research"
312,Tripify,Delhi,"Company size
201-500 employees","Industry
KPO/Research"
313,IndustryARC,Hyderabad,"Company size
51-200 employees","Industry
KPO/Research"
314,HS Brands Private Limited,Bangalore,"Company size
51-200 employees","Industry
KPO/Research"
